spectra names,source,Class,SubClass,Type,Date,Brightness,wkt
SCCCW_Hardwood_NPV_128,C:\Users\91908\Downloads\_11_S_LV_2020_1_14.tif,Southern California Mountains (SCM),Hardwood,NPV,"PyQt5.QtCore.QDate(2020, 01, 01)",0.0879,Point (-118.42024478297373946 35.22766884531522891)
SCCCW_Hardwood_NPV_139,,Southern California Mountains (SCM),Hardwood,NPV,"PyQt5.QtCore.QDate(2020, 04, 01)",0.097855556,
SCCCW_Shrubland_Soil_27,C:\Users\91908\Downloads\_11_S_KU_2020_4_1.tif,Southern California Mountains (SCM),Shrubland,Soil,"PyQt5.QtCore.QDate(2020, 04, 01)",0.158711111,Point (-119.28568381782064023 34.73771187315801257)
SCCCW_Conifer_PV_154,C:\Users\91908\Downloads\_11_S_NT_2020_7_14.tif,Southern California Mountains (SCM),Conifer,PV,"PyQt5.QtCore.QDate(2020, 07, 01)",0.226222222,Point (-116.60984218796410516 33.71621564691696449)
SCCCW_Conifer_PV_155,C:\Users\91908\Downloads\_11_S_NT_2020_7_14.tif,Southern California Mountains (SCM),Conifer,PV,"PyQt5.QtCore.QDate(2020, 07, 01)",0.218188889,Point (-116.60965089864200195 33.71609034164357155)
SN_Hardwood_PV_10,C:\Users\91908\Downloads\_11_S_LA_2018_1_7.tif,Sierra Nevada (SN),Hardwood,PV,"PyQt5.QtCore.QDate(2018, 01, 01)",0.176955556,Point (-118.88215188595229677 36.85396895118822158)
SN_Hardwood_PV_13,C:\Users\91908\Downloads\_11_S_LA_2018_1_7.tif,Sierra Nevada (SN),Hardwood,PV,"PyQt5.QtCore.QDate(2018, 01, 01)",0.211088889,Point (-118.88081566000420253 36.85479980639125586)
SN_Hardwood_Soil_1,C:\Users\91908\Downloads\_11_S_LA_2018_1_7.tif,Sierra Nevada (SN),Hardwood,Soil,"PyQt5.QtCore.QDate(2018, 01, 01)",0.188944444,Point (-118.72178141646546123 36.54891058171772755)
SN_Hardwood_Soil_2,C:\Users\91908\Downloads\_11_S_LA_2018_1_7.tif,Sierra Nevada (SN),Hardwood,Soil,"PyQt5.QtCore.QDate(2018, 01, 01)",0.199344444,Point (-118.72244676126790353 36.54927969770874085)
SN_Confier_Water_1,C:\Users\91908\Downloads\_11_S_LB_2018_7_6.tif,Sierra Nevada (SN),Conifer,NPV,"PyQt5.QtCore.QDate(2018, 07, 01)",0.094177778,Point (-118.97139240885418587 37.12444979333014317)
SN_Confier_NPV_26,C:\Users\91908\Downloads\_11_S_LA_2018_7_6.tif,Sierra Nevada (SN),Conifer,NPV,"PyQt5.QtCore.QDate(2018, 07, 01)",0.143388889,Point (-118.63287135154264718 36.68801033390141697)
SN_Hardwood_NPV_75,C:\Users\91908\Downloads\_11_S_LB_2019_1_2.tif,Sierra Nevada (SN),Hardwood,NPV,"PyQt5.QtCore.QDate(2019, 01, 01)",0.118455556,Point (-119.13711970589459099 36.97202977714172079)
SN_Conifer_PV_83,C:\Users\91908\Downloads\_11_S_LA_2019_4_7.tif,Sierra Nevada (SN),Conifer,PV,"PyQt5.QtCore.QDate(2019, 04, 01)",0.138911111,Point (-118.66178587085957474 36.27646470118809674)
